sample_id,origin,augmentation_type,generation_basis,source_site,language,case_id,case_title,case_text,case_url,solution_page_id,solution_page_url,solution_index,solution_title,solution_author_raw,solution_text,is_winner,parser_mode,case_parser_mode,needs_review,retrieved_at,score_factchecking,score_originality,score_effectiveness,score_logic,score_completeness,score_total,evaluation_rationale
real_0001,real,,human_published_solution,Executive.ru,ru,1982409,Скачки напряжения испортили отношения с заказчиком. Что делать?,"Дано: подрядчик строит ЦОД для заказчика, но не все работы пока завершены. Из-за перебоев с напряжением в городской электросети случаются незапланированные отключения в серверной. Представители заказчика ищут виноватых на стороне исполнителя, а последний утверждает, что от его компании ничего не зависит.

Надо решить: что может предпринять подрядчик в такой рискованной для всех сторон ситуации?

Крупная компания, входящая в топ в своем сегменте российского рынка, строит центр обработки данных (ЦОД) для заказчика – государственной структуры. Заказчик для подрядчика очень важен – это системный, стратегический, ключевой клиент. Работа заказчика влияет на огромное количество компаний, физических лиц и государственных органов. Заказчик постоянно находится на контроле у вышестоящих органов. Проект ЦОД для заказчика тоже стратегически важен. В проект входят серверная, инфраструктура, система бесперебойного и резервного питания. Смета составляет сотни миллионов рублей.

Строительство идет с задержкой по объективным причинам, не по вине подрядчика. Заказчик относится к этому с пониманием. Заказчик делает все, что в его силах, чтобы помочь выполнить проект: ему очень нужен ЦОД.

Проект для подрядчика – убыточный. Убыток образовался по ходу работы над проектом. Это обстоятельство беспокоит подрядчика, но работа продолжается «по политическим соображениям» – они важнее, чем финансовый результат, хотя подрядчик испытывает серьезные финансовые трудности и риски по другим проектам. Чтобы наверстать отставание от графика, пришлось потратить дополнительные 5 млн руб., в результате чего убыток увеличился.

Серверная и инфраструктура построены в полном объеме. Произведены установка систем и серверного ПО, установка рабочего ПО, установка баз данных и хранилищ, запуск и эксплуатация всей системы. Не успели построить в срок в полном объеме системы бесперебойного и резервного питания. Резервное питание действует в объеме 50%, бесперебойное только монтируется.

Запуск системы состоялся в срок. Почти все работы по договору были выполнены, за исключением систем резервного и бесперебойного питания. Работы продолжаются в авральном режиме. Заказчик закрывает глаза на формальности, понимая, что исполнители делают все что могут, и не в убыток качеству.

Все сотрудники от генерального директора до монтажника являются компетентными специалистами с большим опытом работы на подобных проектах.

Чрезвычайное происшествие

Однажды утром представитель заказчика звонит руководителю проекта и спрашивает: «Кто вам разрешал отключать ночью серверную без нашего ведома и планового отключения всех служб? Нельзя работающую серверную из розетки выдергивать, когда вздумается. Если «накроется» база данных, или накроется серверная – это катастрофа большого масштаба. Вы знаете, что после такого восстановительные работы займут минимум два дня? Здесь через час сразу появятся прокуратура, ФСБ, налоговая… Чиновники будут «шерстить» всех. Вы понимаете, что они сделают с вашей компанией? Вы не выполняете условия контракта. Получите штрафные санкции, потеряете банковскую гарантию, попадете в черный список поставщиков на три года. Можете лишиться лицензии. Не делайте так больше. Я не доложил наверх о проблемах, пока все обошлось. Если нужно отключить – попросите. Мы постараемся спланировать и на ночь отключить. Только на ночь».

Ответ руководителя проекта: «Извините. Разберусь, почему так вышло. Мы накажем виновных. Понимаю все риски. Доложу вам».

Причина ЧП

Ночью в системе электроснабжения произошел сбой. Причина – повышенное напряжение в городской электросети. Вместо 220В на объект поступили 255В. Сработала автоматика: отключилась наружная сеть и включилась система резервного питания. Бесперебойное питание еще не работает: дизель-генератор не смонтирован. За ночь запас энергии в системе резервного питания обнулился, серверная отключилась полностью. Утром напряжение в городской сети стабилизировалось, оборудование перешло в нормальный режим работы.

Определить причину отключения удалось не сразу. Она была выявлена после того, как руководитель проекта лично начал тестировать все системы в ночное время.

Реакция на ЧП

Руководитель проекта доложил заказчику о причинах аварии: «Это не наша проблема и не наша граница ответственности. Мы не можем отвечать за городские сети. Мы делаем все, что можем: действуем согласно контракту и техническим нормам. Решите вопрос с городской электросетью. Мы можем показать документы испытания оборудования».

Заказчик отреагировал так: «Спасибо за помощь. Хорошо, что выявили проблему с сетями. Проблему нужно решить в срок до трех месяцев. Серверную отключать без ведома запрещаю, даже если проблемы в сети. Обо всем докладывать».

После этого чрезвычайная ситуация повторилась три раза подряд. Каждую ночь. Каждое утро представитель заказчика звонил руководителю проекта, тон разговора становился все выше.

Вопрос:

Какие действия должно принять руководство компании-подрядчика?",https://www.e-xecutive.ru/education/cases/1982409-skachki-napryazheniya-isportili-otnosheniya-s-zakazchikom-chto-delat,1982410,https://www.e-xecutive.ru/education/cases/1982410-skachki-napryazheniya-isportili-otnosheniya-s-zakazchikom-resheniya-keisa,1,Решение-победитель Елены Курочкиной,Елены Курочкиной,"Перед запуском любого проекта составляется так называемый feed или спецификация, в котором описаны все вводные данные, на основании этого документа осуществляется проектирование. А это не только технические нормы. Если убыток вызван некорректными первоначальными данными, этот убыток должен быть взыскан с заказчика. Если нет – это проблема подрядчика, это показывает его компетентность и реально это только его риск. Поэтому разговоры о «политически важном заказе» и «готовности работать в убыток» – непрофессионально.

Объект должен быть сдан готовым, «под ключ». Если задержка (как и убыток подрядчика) вызвана изначально предоставленными заказчиком некорректными данными, подрядчик должен был требовать изменения сроков сдачи. Если подрядчик виноват в сдвижении сроков, нужно нанимать субподрядчиков с необходимым оборудованием/ дополнительный персонал по срочному контракту. Другими словами: решать вопрос, платить штраф за изменение сроков сдачи. Теперь о решении кейса.

На функционирование городских сетей (ГС) никто влиять не может, только понять, какие риски идут от ГС, принять их и разработать технические меры по минимизации. Мы помним, что фактически объект сдан с нарушением требований, то есть полностью не готов, все функции, заложенные в ЦОД, не реализованы (мы помним, что система резервного смонтирована на 50%, система бесперебойного питания не работает). Эти системы в будущем и должны решить проблемы, связанные с рисками от ГС.

Более того, перед сдачей должны быть тестовые прогоны (cold run, dry run), на которых должны быть отработаны все нештатные ситуации. Эти тестовые прогоны должны быть частью проекта, на них должно отводиться время, выделяться ресурсы. То, что систему подрядчик сдал, а заказчик принял в таком виде – вина обеих сторон. Но что случилось, то случилось.

Что делать подрядчику:

В первую очередь, посмотреть требования к проекту (тот самый feed). Были ли риски от ГС описаны как вводные данные? Какое максимальное и минимальное напряжение указано (помним, что стандартные 220 +-10%, максимум 242 Вт). Возможно, придется еще раз пересмотреть техническое решение из-за вновь открывшихся обстоятельств.

Второе, заказчик на многое закрывает глаза, но ему важно сохранить данные и оборудование на серверной. Соответственно, подрядчику нужно объяснить ситуацию, указав на степень и меру ответственности каждой стороны (подготовка проекта, отсутствие тестирования системы перед запуском). А далее предлагать решения именно этих двух задач, разработать комплекс мер, которые должны выполнить и заказчик и подрядчик, среди которых:

- Разработка системы взаимодействия при копировании данных: на чьем оборудовании осуществлять хранение дублирующих записей, меры защиты, система обновления хранящихся данных и другие вопросы.
- Разработка системы защиты оборудования: техническая реализация, взаимодействие сторон. Если необходимо, то параллельно нужно обсудить и изменение проекта.
- Пока не реализованы первые два пункта, придется на ночь отключать серверную. Поэтому все связанные с этим вопросы тоже нужно обсудить с заказчиком: порядок отключения и запуска, взаимодействие, назначить ответственных «дежурных» от обеих сторон.",True,html_heading,linked_page,False,2026-08-27T18:20:04.710007+00:00,100.0,75.0,85.0,80.0,80.0,84.0,"Ключевой ход: Если подрядчик виноват в сдвижении сроков, нужно нанимать субподрядчиков с необходимым оборудованием/ дополнительный персонал по срочному контракту. Явных фактических ошибок или противоречий условию не видно. Сильнее всего выглядит эффективность; Наименее сильная сторона — оригинальность. Есть конкретные действия и измеримые ориентиры; охвачены несколько сторон задачи и риски/реализация."
real_0002,real,,human_published_solution,Executive.ru,ru,1982409,Скачки напряжения испортили отношения с заказчиком. Что делать?,"Дано: подрядчик строит ЦОД для заказчика, но не все работы пока завершены. Из-за перебоев с напряжением в городской электросети случаются незапланированные отключения в серверной. Представители заказчика ищут виноватых на стороне исполнителя, а последний утверждает, что от его компании ничего не зависит.

Надо решить: что может предпринять подрядчик в такой рискованной для всех сторон ситуации?

Крупная компания, входящая в топ в своем сегменте российского рынка, строит центр обработки данных (ЦОД) для заказчика – государственной структуры. Заказчик для подрядчика очень важен – это системный, стратегический, ключевой клиент. Работа заказчика влияет на огромное количество компаний, физических лиц и государственных органов. Заказчик постоянно находится на контроле у вышестоящих органов. Проект ЦОД для заказчика тоже стратегически важен. В проект входят серверная, инфраструктура, система бесперебойного и резервного питания. Смета составляет сотни миллионов рублей.

Строительство идет с задержкой по объективным причинам, не по вине подрядчика. Заказчик относится к этому с пониманием. Заказчик делает все, что в его силах, чтобы помочь выполнить проект: ему очень нужен ЦОД.

Проект для подрядчика – убыточный. Убыток образовался по ходу работы над проектом. Это обстоятельство беспокоит подрядчика, но работа продолжается «по политическим соображениям» – они важнее, чем финансовый результат, хотя подрядчик испытывает серьезные финансовые трудности и риски по другим проектам. Чтобы наверстать отставание от графика, пришлось потратить дополнительные 5 млн руб., в результате чего убыток увеличился.

Серверная и инфраструктура построены в полном объеме. Произведены установка систем и серверного ПО, установка рабочего ПО, установка баз данных и хранилищ, запуск и эксплуатация всей системы. Не успели построить в срок в полном объеме системы бесперебойного и резервного питания. Резервное питание действует в объеме 50%, бесперебойное только монтируется.

Запуск системы состоялся в срок. Почти все работы по договору были выполнены, за исключением систем резервного и бесперебойного питания. Работы продолжаются в авральном режиме. Заказчик закрывает глаза на формальности, понимая, что исполнители делают все что могут, и не в убыток качеству.

Все сотрудники от генерального директора до монтажника являются компетентными специалистами с большим опытом работы на подобных проектах.

Чрезвычайное происшествие

Однажды утром представитель заказчика звонит руководителю проекта и спрашивает: «Кто вам разрешал отключать ночью серверную без нашего ведома и планового отключения всех служб? Нельзя работающую серверную из розетки выдергивать, когда вздумается. Если «накроется» база данных, или накроется серверная – это катастрофа большого масштаба. Вы знаете, что после такого восстановительные работы займут минимум два дня? Здесь через час сразу появятся прокуратура, ФСБ, налоговая… Чиновники будут «шерстить» всех. Вы понимаете, что они сделают с вашей компанией? Вы не выполняете условия контракта. Получите штрафные санкции, потеряете банковскую гарантию, попадете в черный список поставщиков на три года. Можете лишиться лицензии. Не делайте так больше. Я не доложил наверх о проблемах, пока все обошлось. Если нужно отключить – попросите. Мы постараемся спланировать и на ночь отключить. Только на ночь».

Ответ руководителя проекта: «Извините. Разберусь, почему так вышло. Мы накажем виновных. Понимаю все риски. Доложу вам».

Причина ЧП

Ночью в системе электроснабжения произошел сбой. Причина – повышенное напряжение в городской электросети. Вместо 220В на объект поступили 255В. Сработала автоматика: отключилась наружная сеть и включилась система резервного питания. Бесперебойное питание еще не работает: дизель-генератор не смонтирован. За ночь запас энергии в системе резервного питания обнулился, серверная отключилась полностью. Утром напряжение в городской сети стабилизировалось, оборудование перешло в нормальный режим работы.

Определить причину отключения удалось не сразу. Она была выявлена после того, как руководитель проекта лично начал тестировать все системы в ночное время.

Реакция на ЧП

Руководитель проекта доложил заказчику о причинах аварии: «Это не наша проблема и не наша граница ответственности. Мы не можем отвечать за городские сети. Мы делаем все, что можем: действуем согласно контракту и техническим нормам. Решите вопрос с городской электросетью. Мы можем показать документы испытания оборудования».

Заказчик отреагировал так: «Спасибо за помощь. Хорошо, что выявили проблему с сетями. Проблему нужно решить в срок до трех месяцев. Серверную отключать без ведома запрещаю, даже если проблемы в сети. Обо всем докладывать».

После этого чрезвычайная ситуация повторилась три раза подряд. Каждую ночь. Каждое утро представитель заказчика звонил руководителю проекта, тон разговора становился все выше.

Вопрос:

Какие действия должно принять руководство компании-подрядчика?",https://www.e-xecutive.ru/education/cases/1982409-skachki-napryazheniya-isportili-otnosheniya-s-zakazchikom-chto-delat,1982410,https://www.e-xecutive.ru/education/cases/1982410-skachki-napryazheniya-isportili-otnosheniya-s-zakazchikom-resheniya-keisa,2,Решение Валерии Мироненко,Валерии Мироненко,"Грамотный квалифицированный подрядчик должен на этапе проектирования заложить систему обеспечения бесперебойного питания. К примеру, онлайн UPS, которые обеспечивают бесперебойным питанием до запуска дизель-генератора. Либо при закупке оборудования ЦОД можно заранее предусмотреть и заложить в общую стоимость стойки для серверов с уже интегрированной системой ИБП. Вина полностью подрядчика. Заранее делается анализ электросетей, станций, подстанций (так называемая голова), вплоть до проводки.

Указанное ЧП более чем банальное явление и не предвидеть этого – узколобость и формальное выполнение своей работы за n-количество рублей.",False,html_heading,linked_page,False,2026-08-27T18:20:04.710007+00:00,95.0,75.0,50.0,70.0,45.0,67.5,Ключевой ход: Либо при закупке оборудования ЦОД можно заранее предусмотреть и заложить в общую стоимость стойки для серверов с уже интегрированной системой ИБП. Явных фактических ошибок или противоречий условию не видно. Наиболее уверенно выглядит оригинальность; Главный недостаток — низкая полнота. Не хватает механики реализации и оценки эффекта; ответ закрывает лишь часть требований кейса.
real_0003,real,,human_published_solution,Executive.ru,ru,1982409,Скачки напряжения испортили отношения с заказчиком. Что делать?,"Дано: подрядчик строит ЦОД для заказчика, но не все работы пока завершены. Из-за перебоев с напряжением в городской электросети случаются незапланированные отключения в серверной. Представители заказчика ищут виноватых на стороне исполнителя, а последний утверждает, что от его компании ничего не зависит.

Надо решить: что может предпринять подрядчик в такой рискованной для всех сторон ситуации?

Крупная компания, входящая в топ в своем сегменте российского рынка, строит центр обработки данных (ЦОД) для заказчика – государственной структуры. Заказчик для подрядчика очень важен – это системный, стратегический, ключевой клиент. Работа заказчика влияет на огромное количество компаний, физических лиц и государственных органов. Заказчик постоянно находится на контроле у вышестоящих органов. Проект ЦОД для заказчика тоже стратегически важен. В проект входят серверная, инфраструктура, система бесперебойного и резервного питания. Смета составляет сотни миллионов рублей.

Строительство идет с задержкой по объективным причинам, не по вине подрядчика. Заказчик относится к этому с пониманием. Заказчик делает все, что в его силах, чтобы помочь выполнить проект: ему очень нужен ЦОД.

Проект для подрядчика – убыточный. Убыток образовался по ходу работы над проектом. Это обстоятельство беспокоит подрядчика, но работа продолжается «по политическим соображениям» – они важнее, чем финансовый результат, хотя подрядчик испытывает серьезные финансовые трудности и риски по другим проектам. Чтобы наверстать отставание от графика, пришлось потратить дополнительные 5 млн руб., в результате чего убыток увеличился.

Серверная и инфраструктура построены в полном объеме. Произведены установка систем и серверного ПО, установка рабочего ПО, установка баз данных и хранилищ, запуск и эксплуатация всей системы. Не успели построить в срок в полном объеме системы бесперебойного и резервного питания. Резервное питание действует в объеме 50%, бесперебойное только монтируется.

Запуск системы состоялся в срок. Почти все работы по договору были выполнены, за исключением систем резервного и бесперебойного питания. Работы продолжаются в авральном режиме. Заказчик закрывает глаза на формальности, понимая, что исполнители делают все что могут, и не в убыток качеству.

Все сотрудники от генерального директора до монтажника являются компетентными специалистами с большим опытом работы на подобных проектах.

Чрезвычайное происшествие

Однажды утром представитель заказчика звонит руководителю проекта и спрашивает: «Кто вам разрешал отключать ночью серверную без нашего ведома и планового отключения всех служб? Нельзя работающую серверную из розетки выдергивать, когда вздумается. Если «накроется» база данных, или накроется серверная – это катастрофа большого масштаба. Вы знаете, что после такого восстановительные работы займут минимум два дня? Здесь через час сразу появятся прокуратура, ФСБ, налоговая… Чиновники будут «шерстить» всех. Вы понимаете, что они сделают с вашей компанией? Вы не выполняете условия контракта. Получите штрафные санкции, потеряете банковскую гарантию, попадете в черный список поставщиков на три года. Можете лишиться лицензии. Не делайте так больше. Я не доложил наверх о проблемах, пока все обошлось. Если нужно отключить – попросите. Мы постараемся спланировать и на ночь отключить. Только на ночь».

Ответ руководителя проекта: «Извините. Разберусь, почему так вышло. Мы накажем виновных. Понимаю все риски. Доложу вам».

Причина ЧП

Ночью в системе электроснабжения произошел сбой. Причина – повышенное напряжение в городской электросети. Вместо 220В на объект поступили 255В. Сработала автоматика: отключилась наружная сеть и включилась система резервного питания. Бесперебойное питание еще не работает: дизель-генератор не смонтирован. За ночь запас энергии в системе резервного питания обнулился, серверная отключилась полностью. Утром напряжение в городской сети стабилизировалось, оборудование перешло в нормальный режим работы.

Определить причину отключения удалось не сразу. Она была выявлена после того, как руководитель проекта лично начал тестировать все системы в ночное время.

Реакция на ЧП

Руководитель проекта доложил заказчику о причинах аварии: «Это не наша проблема и не наша граница ответственности. Мы не можем отвечать за городские сети. Мы делаем все, что можем: действуем согласно контракту и техническим нормам. Решите вопрос с городской электросетью. Мы можем показать документы испытания оборудования».

Заказчик отреагировал так: «Спасибо за помощь. Хорошо, что выявили проблему с сетями. Проблему нужно решить в срок до трех месяцев. Серверную отключать без ведома запрещаю, даже если проблемы в сети. Обо всем докладывать».

После этого чрезвычайная ситуация повторилась три раза подряд. Каждую ночь. Каждое утро представитель заказчика звонил руководителю проекта, тон разговора становился все выше.

Вопрос:

Какие действия должно принять руководство компании-подрядчика?",https://www.e-xecutive.ru/education/cases/1982409-skachki-napryazheniya-isportili-otnosheniya-s-zakazchikom-chto-delat,1982410,https://www.e-xecutive.ru/education/cases/1982410-skachki-napryazheniya-isportili-otnosheniya-s-zakazchikom-resheniya-keisa,3,Решение Михаила Караваева,Михаила Караваева,"В ситуации непонятны некоторые моменты: с одной стороны, фраза «Не успели построить в срок в полном объеме системы бесперебойного и резервного питания» указывает на недоработки со стороны подрядчика, с другой – объяснение «Мы делаем все, что можем: действуем согласно контракту и техническим нормам. Решите вопрос с городской электросетью. Мы можем показать документы испытания оборудования» дает понять, что со стороны подрядчика все обязательства выполняются.

Еще непонятно, почему подрядчик работает себе в убыток – была ли в этом его вина, договор ли составлен с «перекосом» в пользу заказчика или подрядчик «по доброте душевной» решил довести контракт до конца. В любом случае, это ослабляет позицию подрядчика в глазах заказчика.

Так или иначе, ситуация непростая и лежит скорее в психологической плоскости, нежели технической.

Наверное, мое решение не будет оригинальным. Во-первых, нужно объяснить заказчику так, чтобы он понял (ну или попытаться), что фирма делает все возможное (и даже больше) в весьма неблагоприятных условиях. Прямо по списку:

- Напряжение скачет по вине городских сетей.
- Мы работаем себе в убыток, ведь для нас важно выполнять свои обязательства.
- Все работники являются специалистами.

Аргументы должны быть железными, чтобы было понятно, что заказчик по сути спорит с фактами (как если бы заказчик обвинял подрядчика в том, что день сменяется ночью). И на все должны быть бумаги и справки, их нужно предъявлять в бумажном и/или электронном виде (отправлять в переписке по электронной и обычной почте), даже если их никто не просит, причем до появления претензий. Это поможет обосновать неполадки и в случае суда подтвердит стремления решить спор в досудебном порядке.

При этом нужно, чтобы заказчик понял, что подрядчик на его стороне. Для этого сперва необходимо восстановить уважительное отношение и общение на равных. Ситуация, когда заказчик ругает подрядчика, а тот «обтекает», недопустима в принципе, иначе заказчик на правах «обманутого клиента» начинает наглеть еще сильнее. На вопрос, почему было отключение, следовало ответить, что со стороны подрядчика никто ничего не отключал и проблема может быть связана с энергетической компанией (как и в прошлые разы). А фраза «я сейчас никому ничего не скажу, но в следующий раз...» так и вовсе попахивает шантажом. Если заказчик увидит, что подрядчик в слабой позиции, ничем хорошим это не закончится, поэтому «Вы имеете полное право сообщить, куда считаете нужным». А требование «не отключать, докладывать, сделать в срок до трех месяцев», если это не оговорено в контракте, нужно вообще культурно «слать лесом». Или не слать, но давать понять, что не обязаны это делать, но ок, из уважения сделаем. Подрядчик не должен оправдываться за чужие ошибки.

Возможно, со стороны подрядчика надо сменить переговорщика и начать «с чистого лица». Обозначить, что последнее время возникло непонимание, и коммуникация ухудшилась. Вызвать заказчика на разговор, чтобы тот высказал свои претензии, все до единой. Пусть кричит и матерится – так даже лучше, он будет в слабой позиции, если представитель подрядчика останется спокоен. Здесь нужно провести беседу, в которой выразить понимание обеспокоенности заказчика, обозначить ответственность каждой из сторон и третьих лиц, подчеркнуть, что заказчик имеет полное право и может хоть сейчас подать в суд (позвонить в ФСБ, налоговую), но решит ли это проблему? Поэтому «давайте вместе подумаем, что нам делать в этой ситуации».

Можно предложить дополнительные решения (резервный генератор или что-то подобное), разумеется, за дополнительную плату. Можно предложить помощь в составлении искового заявления на энергокомпанию, в сохранении данных на случай отключения. И ссылаться на договор, в котором должны быть прописаны обстоятельства непреодолимой силы. И обязательно проговаривать, что отключения будут, что это не вина подрядчика, который делает все, чтобы побыстрее закончить. И на этом фоне можно вместе поругать общего врага – энергетиков, их начальство и власти.",False,html_heading,linked_page,False,2026-08-27T18:20:04.710007+00:00,95.0,70.0,75.0,80.0,85.0,80.0,"Ключевой ход: Наверное, мое решение не будет оригинальным. Явных фактических ошибок или противоречий условию не видно. Сильнее всего выглядит полнота; Наименее сильная сторона — оригинальность. Охвачены несколько сторон задачи и риски/реализация."
