target,representation,cv_mae,best_params
score_factchecking,solution_only,1.8813,"{'tfidf__sublinear_tf': False, 'tfidf__norm': 'l2', 'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 3, 'tfidf__max_features': 10000, 'tfidf__max_df': 1.0, 'tfidf__analyzer': 'char_wb', 'ridge__tol': 1e-05, 'ridge__solver': 'lsqr', 'ridge__fit_intercept': False, 'ridge__alpha': 0.5623413251903491}"
score_factchecking,combined,1.8337,"{'tfidf__sublinear_tf': False, 'tfidf__norm': 'l2', 'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 3, 'tfidf__max_features': 10000, 'tfidf__max_df': 1.0, 'tfidf__analyzer': 'char_wb', 'ridge__tol': 1e-05, 'ridge__solver': 'lsqr', 'ridge__fit_intercept': False, 'ridge__alpha': 0.5623413251903491}"
score_factchecking,separate,1.9321,"{'ridge__tol': 0.01, 'ridge__solver': 'lsqr', 'ridge__fit_intercept': True, 'ridge__alpha': 1.0, 'features__transformer_weights': {'case': 1.0, 'solution': 1.0}, 'features__solution__ngram_range': (1, 1), 'features__solution__min_df': 1, 'features__case__ngram_range': (1, 2), 'features__case__min_df': 1}"
score_originality,solution_only,6.5473,"{'tfidf__sublinear_tf': True, 'tfidf__norm': 'l2', 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 1, 'tfidf__max_features': None, 'tfidf__max_df': 1.0, 'tfidf__analyzer': 'char_wb', 'ridge__tol': 1e-05, 'ridge__solver': 'lsqr', 'ridge__fit_intercept': True, 'ridge__alpha': 0.005623413251903491}"
score_originality,combined,7.2738,"{'tfidf__sublinear_tf': True, 'tfidf__norm': 'l2', 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 1, 'tfidf__max_features': None, 'tfidf__max_df': 1.0, 'tfidf__analyzer': 'char_wb', 'ridge__tol': 1e-05, 'ridge__solver': 'lsqr', 'ridge__fit_intercept': True, 'ridge__alpha': 0.005623413251903491}"
score_originality,separate,7.1215,"{'ridge__tol': 0.001, 'ridge__solver': 'sparse_cg', 'ridge__fit_intercept': True, 'ridge__alpha': 0.001, 'features__transformer_weights': {'case': 0.25, 'solution': 1.0}, 'features__solution__ngram_range': (1, 3), 'features__solution__min_df': 3, 'features__case__ngram_range': (1, 1), 'features__case__min_df': 2}"
score_effectiveness,solution_only,5.609,"{'tfidf__sublinear_tf': True, 'tfidf__norm': 'l2', 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 1, 'tfidf__max_features': None, 'tfidf__max_df': 1.0, 'tfidf__analyzer': 'char_wb', 'ridge__tol': 1e-05, 'ridge__solver': 'lsqr', 'ridge__fit_intercept': True, 'ridge__alpha': 0.005623413251903491}"
score_effectiveness,combined,7.2863,"{'tfidf__sublinear_tf': True, 'tfidf__norm': 'l2', 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 5, 'tfidf__max_features': 20000, 'tfidf__max_df': 0.9, 'tfidf__analyzer': 'char_wb', 'ridge__tol': 0.01, 'ridge__solver': 'lsqr', 'ridge__fit_intercept': True, 'ridge__alpha': 0.03162277660168379}"
score_effectiveness,separate,6.5154,"{'ridge__tol': 0.0001, 'ridge__solver': 'sparse_cg', 'ridge__fit_intercept': True, 'ridge__alpha': 0.0017782794100389228, 'features__transformer_weights': {'case': 0.25, 'solution': 1.0}, 'features__solution__ngram_range': (1, 1), 'features__solution__min_df': 3, 'features__case__ngram_range': (1, 1), 'features__case__min_df': 3}"
score_logic,solution_only,2.8892,"{'tfidf__sublinear_tf': True, 'tfidf__norm': 'l2', 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 1, 'tfidf__max_features': None, 'tfidf__max_df': 1.0, 'tfidf__analyzer': 'char_wb', 'ridge__tol': 1e-05, 'ridge__solver': 'lsqr', 'ridge__fit_intercept': True, 'ridge__alpha': 0.005623413251903491}"
score_logic,combined,4.0385,"{'tfidf__sublinear_tf': True, 'tfidf__norm': 'l2', 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 5, 'tfidf__max_features': 20000, 'tfidf__max_df': 0.9, 'tfidf__analyzer': 'char_wb', 'ridge__tol': 0.01, 'ridge__solver': 'lsqr', 'ridge__fit_intercept': True, 'ridge__alpha': 0.03162277660168379}"
score_logic,separate,3.6417,"{'ridge__tol': 0.0001, 'ridge__solver': 'sparse_cg', 'ridge__fit_intercept': True, 'ridge__alpha': 0.0017782794100389228, 'features__transformer_weights': {'case': 0.25, 'solution': 1.0}, 'features__solution__ngram_range': (1, 1), 'features__solution__min_df': 3, 'features__case__ngram_range': (1, 1), 'features__case__min_df': 3}"
score_completeness,solution_only,3.6465,"{'tfidf__sublinear_tf': True, 'tfidf__norm': 'l2', 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 1, 'tfidf__max_features': None, 'tfidf__max_df': 1.0, 'tfidf__analyzer': 'char_wb', 'ridge__tol': 1e-05, 'ridge__solver': 'lsqr', 'ridge__fit_intercept': True, 'ridge__alpha': 0.005623413251903491}"
score_completeness,combined,7.543,"{'tfidf__sublinear_tf': False, 'tfidf__norm': 'l2', 'tfidf__ngram_range': (2, 4), 'tfidf__min_df': 5, 'tfidf__max_features': 20000, 'tfidf__max_df': 0.9, 'tfidf__analyzer': 'char_wb', 'ridge__tol': 1e-05, 'ridge__solver': 'sparse_cg', 'ridge__fit_intercept': True, 'ridge__alpha': 0.31622776601683794}"
