model,dataset,score,MSE,MAE,R2,bad_recall
RUBERT_BASE_PARTIAL,REAL_TEST,score_factchecking,42.8615,5.6512,-1.4804,
RUBERT_BASE_PARTIAL,REAL_TEST,score_originality,99.4868,8.5169,-0.0549,
RUBERT_BASE_PARTIAL,REAL_TEST,score_effectiveness,68.3251,6.7107,0.361,
RUBERT_BASE_PARTIAL,REAL_TEST,score_logic,27.7912,4.0397,-0.0821,
RUBERT_BASE_PARTIAL,REAL_TEST,score_completeness,62.4527,6.3848,0.3317,
RUBERT_BASE_PARTIAL,REAL_TEST,score_total,14.8179,3.0507,0.111,
RUBERT_BASE_PARTIAL,STRESS_TEST,score_factchecking,1016.2067,23.2521,-0.0855,
RUBERT_BASE_PARTIAL,STRESS_TEST,score_originality,190.359,11.4282,0.05,
RUBERT_BASE_PARTIAL,STRESS_TEST,score_effectiveness,625.3187,22.9048,0.24,
RUBERT_BASE_PARTIAL,STRESS_TEST,score_logic,478.3229,18.7527,0.2599,
RUBERT_BASE_PARTIAL,STRESS_TEST,score_completeness,498.0937,19.4436,0.1746,
RUBERT_BASE_PARTIAL,STRESS_TEST,score_total,234.5224,13.2129,0.1212,0.7619
RUBERT_BASE_PARTIAL,EXTERNAL_LOW_QUALITY_TEST,score_factchecking,317.1656,14.6705,-0.0217,
RUBERT_BASE_PARTIAL,EXTERNAL_LOW_QUALITY_TEST,score_originality,277.0001,12.5198,-0.1419,
RUBERT_BASE_PARTIAL,EXTERNAL_LOW_QUALITY_TEST,score_effectiveness,291.6984,14.5689,0.1846,
RUBERT_BASE_PARTIAL,EXTERNAL_LOW_QUALITY_TEST,score_logic,148.6516,9.4699,-0.02,
RUBERT_BASE_PARTIAL,EXTERNAL_LOW_QUALITY_TEST,score_completeness,306.44,15.333,-0.2746,
RUBERT_BASE_PARTIAL,EXTERNAL_LOW_QUALITY_TEST,score_total,158.2109,11.0038,0.1355,0.4118
