model,dataset,score,MSE,MAE,R2,bad_recall
RUBERT_TINY2_PARTIAL,REAL_TEST,score_factchecking,25.3969,3.8201,-0.4697,
RUBERT_TINY2_PARTIAL,REAL_TEST,score_originality,134.188,10.0556,-0.4229,
RUBERT_TINY2_PARTIAL,REAL_TEST,score_effectiveness,77.3519,7.1168,0.2766,
RUBERT_TINY2_PARTIAL,REAL_TEST,score_logic,45.2157,5.4111,-0.7605,
RUBERT_TINY2_PARTIAL,REAL_TEST,score_completeness,82.8589,7.64,0.1133,
RUBERT_TINY2_PARTIAL,REAL_TEST,score_total,17.1051,3.2893,-0.0263,
RUBERT_TINY2_PARTIAL,STRESS_TEST,score_factchecking,616.6406,19.6815,0.3413,
RUBERT_TINY2_PARTIAL,STRESS_TEST,score_originality,186.5483,11.1258,0.069,
RUBERT_TINY2_PARTIAL,STRESS_TEST,score_effectiveness,384.7621,17.1728,0.5324,
RUBERT_TINY2_PARTIAL,STRESS_TEST,score_logic,294.6886,14.0186,0.544,
RUBERT_TINY2_PARTIAL,STRESS_TEST,score_completeness,322.9687,15.5206,0.4648,
RUBERT_TINY2_PARTIAL,STRESS_TEST,score_total,122.0832,9.5991,0.5425,1.0
RUBERT_TINY2_PARTIAL,EXTERNAL_LOW_QUALITY_TEST,score_factchecking,372.7847,15.2943,-0.2009,
RUBERT_TINY2_PARTIAL,EXTERNAL_LOW_QUALITY_TEST,score_originality,202.2985,11.5797,0.1661,
RUBERT_TINY2_PARTIAL,EXTERNAL_LOW_QUALITY_TEST,score_effectiveness,253.2909,13.1318,0.2919,
RUBERT_TINY2_PARTIAL,EXTERNAL_LOW_QUALITY_TEST,score_logic,164.5565,11.226,-0.1292,
RUBERT_TINY2_PARTIAL,EXTERNAL_LOW_QUALITY_TEST,score_completeness,132.6276,10.0761,0.4484,
RUBERT_TINY2_PARTIAL,EXTERNAL_LOW_QUALITY_TEST,score_total,102.1875,8.8913,0.4416,0.9412
