model,dataset,score,MSE,MAE,R2,bad_recall
TFIDF_RIDGE,REAL_TEST,score_factchecking,45.5586,5.2789,-1.6365,
TFIDF_RIDGE,REAL_TEST,score_originality,103.172,8.2381,-0.094,
TFIDF_RIDGE,REAL_TEST,score_effectiveness,57.533,6.5405,0.4619,
TFIDF_RIDGE,REAL_TEST,score_logic,45.9064,5.7238,-0.7874,
TFIDF_RIDGE,REAL_TEST,score_completeness,33.4601,4.6289,0.6419,
TFIDF_RIDGE,REAL_TEST,score_total,18.25,3.3863,-0.095,
TFIDF_RIDGE,STRESS_TEST,score_factchecking,649.9994,17.8544,0.3056,
TFIDF_RIDGE,STRESS_TEST,score_originality,105.6994,8.6353,0.4725,
TFIDF_RIDGE,STRESS_TEST,score_effectiveness,327.3596,16.5181,0.6022,
TFIDF_RIDGE,STRESS_TEST,score_logic,212.0531,12.4246,0.6719,
TFIDF_RIDGE,STRESS_TEST,score_completeness,214.1714,12.1672,0.6451,
TFIDF_RIDGE,STRESS_TEST,score_total,147.1454,10.1512,0.4486,0.9048
TFIDF_RIDGE,EXTERNAL_LOW_QUALITY_TEST,score_factchecking,223.1685,13.2693,0.2811,
TFIDF_RIDGE,EXTERNAL_LOW_QUALITY_TEST,score_originality,292.752,14.0818,-0.2068,
TFIDF_RIDGE,EXTERNAL_LOW_QUALITY_TEST,score_effectiveness,207.8173,12.2968,0.419,
TFIDF_RIDGE,EXTERNAL_LOW_QUALITY_TEST,score_logic,165.1036,10.7226,-0.1329,
TFIDF_RIDGE,EXTERNAL_LOW_QUALITY_TEST,score_completeness,121.2106,8.9559,0.4958,
TFIDF_RIDGE,EXTERNAL_LOW_QUALITY_TEST,score_total,107.0718,9.2717,0.4149,0.7059
EMBEDDINGS_CATBOOST,REAL_TEST,score_factchecking,27.6483,3.7455,-0.6,
EMBEDDINGS_CATBOOST,REAL_TEST,score_originality,106.1563,8.6889,-0.1256,
EMBEDDINGS_CATBOOST,REAL_TEST,score_effectiveness,65.1733,6.6641,0.3905,
EMBEDDINGS_CATBOOST,REAL_TEST,score_logic,13.9836,2.9024,0.4555,
EMBEDDINGS_CATBOOST,REAL_TEST,score_completeness,21.8184,3.4976,0.7665,
EMBEDDINGS_CATBOOST,REAL_TEST,score_total,14.7386,3.161,0.1157,
EMBEDDINGS_CATBOOST,STRESS_TEST,score_factchecking,1150.0506,22.0402,-0.2285,
EMBEDDINGS_CATBOOST,STRESS_TEST,score_originality,196.9294,11.5071,0.0172,
EMBEDDINGS_CATBOOST,STRESS_TEST,score_effectiveness,461.6666,19.5411,0.4389,
EMBEDDINGS_CATBOOST,STRESS_TEST,score_logic,486.3389,17.6812,0.2475,
EMBEDDINGS_CATBOOST,STRESS_TEST,score_completeness,310.977,14.9011,0.4846,
EMBEDDINGS_CATBOOST,STRESS_TEST,score_total,209.2118,12.3595,0.216,0.8095
EMBEDDINGS_CATBOOST,EXTERNAL_LOW_QUALITY_TEST,score_factchecking,295.4745,11.1809,0.0482,
EMBEDDINGS_CATBOOST,EXTERNAL_LOW_QUALITY_TEST,score_originality,249.9215,11.7721,-0.0303,
EMBEDDINGS_CATBOOST,EXTERNAL_LOW_QUALITY_TEST,score_effectiveness,315.3905,15.2182,0.1183,
EMBEDDINGS_CATBOOST,EXTERNAL_LOW_QUALITY_TEST,score_logic,154.6706,10.5069,-0.0613,
EMBEDDINGS_CATBOOST,EXTERNAL_LOW_QUALITY_TEST,score_completeness,81.4399,7.9221,0.6613,
EMBEDDINGS_CATBOOST,EXTERNAL_LOW_QUALITY_TEST,score_total,114.8597,9.4372,0.3724,0.8235
EMBEDDINGS_RIDGE,REAL_TEST,score_factchecking,82.036,7.3816,-3.7474,
EMBEDDINGS_RIDGE,REAL_TEST,score_originality,125.088,9.4621,-0.3264,
EMBEDDINGS_RIDGE,REAL_TEST,score_effectiveness,128.2588,9.3004,-0.1995,
EMBEDDINGS_RIDGE,REAL_TEST,score_logic,43.2326,5.0629,-0.6833,
EMBEDDINGS_RIDGE,REAL_TEST,score_completeness,157.9751,9.9997,-0.6906,
EMBEDDINGS_RIDGE,REAL_TEST,score_total,46.5314,5.5908,-1.7918,
EMBEDDINGS_RIDGE,STRESS_TEST,score_factchecking,810.5377,20.1456,0.1342,
EMBEDDINGS_RIDGE,STRESS_TEST,score_originality,231.8024,12.3515,-0.1568,
EMBEDDINGS_RIDGE,STRESS_TEST,score_effectiveness,487.8587,20.8231,0.4071,
EMBEDDINGS_RIDGE,STRESS_TEST,score_logic,411.2997,15.7236,0.3636,
EMBEDDINGS_RIDGE,STRESS_TEST,score_completeness,244.0064,12.8148,0.5956,
EMBEDDINGS_RIDGE,STRESS_TEST,score_total,193.4358,11.3119,0.2751,0.8095
EMBEDDINGS_RIDGE,EXTERNAL_LOW_QUALITY_TEST,score_factchecking,219.0767,12.2954,0.2943,
EMBEDDINGS_RIDGE,EXTERNAL_LOW_QUALITY_TEST,score_originality,282.9603,12.6863,-0.1665,
EMBEDDINGS_RIDGE,EXTERNAL_LOW_QUALITY_TEST,score_effectiveness,187.9783,12.1681,0.4745,
EMBEDDINGS_RIDGE,EXTERNAL_LOW_QUALITY_TEST,score_logic,132.0512,9.523,0.0939,
EMBEDDINGS_RIDGE,EXTERNAL_LOW_QUALITY_TEST,score_completeness,152.768,9.955,0.3646,
EMBEDDINGS_RIDGE,EXTERNAL_LOW_QUALITY_TEST,score_total,103.7847,8.5672,0.4329,0.7647
